Destination,1990-1995_(mf),1995-2000_(mf),2000-2005_(mf),2005-2010_(mf),2010-2015_(mf),2015-2019_(mf),1990-1995_(m),1995-2000_(m),2000-2005_(m),2005-2010_(m),2010-2015_(m),2015-2019_(m),1990-1995_(f),1995-2000_(f),2000-2005_(f),2005-2010_(f),2010-2015_(f),2015-2019_(f)
Cameroon,-1.6593491135755165,-1.4877851267774527,3.1122122227121176,1.8664933586862962,11.124230202164835,-0.130863244771435,-1.705593814448711,-1.5416637655997132,3.282874271767279,1.9984493170168574,8.84557913765938,-0.11306371566717431,-1.6033245109193266,-1.4228718891865415,2.9052633129962713,1.7037681937685358,13.63524861804376,-0.1482786514427774
Central African Republic,7.882139176978438,4.283798310163622,-5.368318800748669,-0.20924544959411967,-2.7158596386700085,2.6297538458660212,7.901232982902514,4.286084435170824,-5.347848495140471,-0.19724301937070038,-2.8377220681717574,2.6575173497609366,7.860518933253136,4.281206739432224,-5.391552313668348,-0.22289168102306747,-2.578115532686931,2.5985382742494356
Chad,3.7300132936517563,3.1423112090057783,24.23030006789438,3.381933090805979,2.267135636906805,2.3128252520946857,3.7038242681884888,3.1239080888566795,20.796108410902157,3.1300599762335937,2.874327497002872,2.290892703776058,3.7606938421013356,3.1638184387201465,27.611733022470325,3.5886916547657153,1.7604648741867415,2.3316281039018687
Congo,7.855073864350218,9.352006941759694,0.8226531268451844,5.763412408073916,-1.7197073900687567,0.7573621164735858,7.973677396483943,9.372894393251167,2.4695479046619426,5.7651546819966075,-1.559990999075896,0.7459044260630866,7.737158485271078,9.331095688079897,-0.976228755765271,5.761337827022748,-1.9115838773880918,0.7712414036275962
Democratic Republic of the Congo,17.5854415121921,-17.847212881326183,-3.5644967416521274,-1.1198986679805063,6.728522973951498,3.9037650996619044,18.184014330186667,-18.075528725504338,-3.775251102008063,-1.231075945753816,6.885460620459773,3.641983853232437,17.013152830051197,-17.624956932311843,-3.3637106116717406,-1.0156271709812097,6.58100560987357,4.149210283604101
Equatorial Guinea,5.61998415661909,4.377818568830678,7.5480351128585355,5.464678734087899,63.73539365932108,2.0602739979968465,5.513295208955273,4.308912084379745,7.95835804945563,5.677740029664586,70.59803600519989,2.060346805071422,5.74187328158811,4.45580680062648,7.075005511923352,5.210621667716603,50.11675879477783,2.0600294180329115
Gabon,5.813191673015631,4.476609765694528,1.731613746239668,2.938378595979484,6.704394804798065,2.0752933870381725,5.802234858234397,4.582919014306343,1.8799305867859077,3.2164507710149044,8.587695753327496,2.063545447462655,5.827755085423416,4.334517847356667,1.530389441197078,2.55142347161114,3.6947014014186723,2.096508834078805
Sao Tome and Principe,-2.459836970220874,-2.4587419462304223,-4.8036734963202115,-4.80365482930543,-2.4057233174900388,-2.4099204609190927,-2.9502573010373725,-2.828233080996571,-4.950225689910935,-4.896016430875385,-2.435331020898725,-2.4559609895853303,-1.9229470043477705,-2.0718795429625936,-4.654215386254772,-4.710588731587443,-2.3760717182855826,-2.3639645656253165
Southern Africa,-2.9868096648317706,1.069128253108014,4.4383106158908605,7.925487007836574,10.918343562494071,2.467103880206856,-3.1695460098068633,0.7489555637729328,3.97395212070471,7.917604534017716,10.243036625044684,2.4853466969957387,-2.7120266136563846,1.5358254536375997,5.083826287200384,7.93614004575759,11.795824164839534,2.444282605020457
Botswana,7.570421675918423,12.470741347531975,2.4298402289134553,2.2341143819365796,1.750441882712856,1.7139092820446944,6.949557009156298,12.456461575301308,2.279278220741756,1.8453471491104017,1.736731877266711,1.7153762486742472,8.481490505516462,12.490891996891385,2.6402130222181586,2.7602609818277863,1.7685628455947777,1.7119717546346696
Eswatini,-15.15088722782319,-0.6199135795773099,-0.4102343126172915,-0.4573947245557919,-0.17541542537988886,-0.03247657504135153,-15.158492619227784,-0.8520757761066259,-0.6257240297875198,-0.6780707396485217,-0.19511182062414237,-0.06775275910538449,-15.142240763126738,-0.35930945845968804,-0.17398978803857285,-0.2208996413014342,-0.15456810748333985,0.004769020457665461
Lesotho,-2.687278332153414,-3.108478626087077,0.39497149405986876,0.390440611172282,0.48670197808116966,1.318824277127811,-2.414222512981009,-2.752170541519563,0.3978162921216579,0.3900574802788537,0.506644425120617,1.320597046402673,-2.9922797274144775,-3.5200913114391468,0.39162090398213123,0.3908919214594026,0.46318566201507505,1.3167313770768831
Namibia,-0.8931500606370607,3.2231350665411567,-4.665037313639861,-0.6670031380223457,-0.42991472510540124,1.4209360921785907,-0.7798969844558125,3.5324769271293444,-4.772206136285025,-0.6425773986777827,-0.38502392228183074,1.419925950230409,-1.0208154924567452,2.866431070023932,-4.540111970013057,-0.6953485656818174,-0.4822049765528623,1.4221155486241819
South Africa,-2.9592411415646382,0.2604192635052634,5.680945395808328,8.96185427112483,11.808482932967411,2.536457143568074,-3.2031918919747278,-0.11425460941747478,5.053648875987219,8.916560529526366,11.042618215717763,2.554079860276409,-2.573632966459135,0.8298066451944603,6.577187739686612,9.02398426084038,12.810860917068126,2.5143711121712498
Western Africa,3.9009496365034995,-0.6450990969285338,2.3537062427603894,1.2993377135143531,2.245612386458471,1.149552059395367,3.6847158844539734,-0.5741959070298143,2.54464737505219,1.2880534067829856,2.0630905751460697,1.1347210050649923,4.146997588423636,-0.7251529871550884,2.135080386739933,1.3123831940994288,2.4544392352074276,1.1663447528531021
Benin,6.401337179777011,4.841653543790485,9.989226099076713,6.631304681368552,3.3933299577612583,1.5756222148912018,6.6298070056634515,4.970719031436806,8.034730101323005,5.716390190662807,3.619249169366412,1.6225336469806304,6.144075237339667,4.693524376195721,12.033069002687132,7.460147469714114,3.1953100643337615,1.5339922783285787
Burkina Faso,5.663405818057995,2.2883595982810485,2.769840780782188,2.4172213497383774,0.8771674245050823,0.4800521915221648,5.697913655604491,2.316147576914414,2.637244056248526,2.3142082760706666,0.8771616674674113,0.4801095040860137,5.631499116628066,2.2625890470642727,2.892193348669058,2.5112078823406123,0.877172651273488,0.4800001578048075
Cabo Verde,2.219090284008529,1.99727851748732,2.8251036537600838,2.474989062090983,0.7523841757963348,1.209860760731079,2.7860089995827555,2.4449436592191494,2.5122586986560496,2.23161182376274,0.6847029860127063,1.2123391474248395,1.6452295876950722,1.5201173212360137,3.1608725756533436,2.728823819837327,0.8218628839307379,1.2073250063322798
