Destination,1990_est_(mf),1995_est_(mf),2000_est_(mf),2005_est_(mf),2010_est_(mf),2015_est_(mf),2019_est_(mf),1990_pct_(mf),1995_pct_(mf),2000_pct_(mf),2005_pct_(mf),2010_pct_(mf),2015_pct_(mf),2019_pct_(mf),1990-1995_annual_rc_(mf),1995-2000_annual_rc_(mf),2000-2005_annual_rc_(mf),2005-2010_annual_rc_(mf),2010-2015_annual_rc_(mf),2015-2019_annual_rc_(mf)
Georgia,..,3200,6400,3520,639,2712,2569,..,2.1020133346470917,8.408108569701907,4.867862427569802,0.8749349617986143,3.536545608658799,3.250458657556779,..,13.862943611198904,-11.956740015112407,-34.126236284292155,28.910743893655027,-1.3542412987600663
Iraq,900,116722,127787,50177,34651,285150,290673,1.0760659030584185,58.5190013035195,60.69920437002732,37.75119437234323,29.518097947848602,79.34476224396948,78.97392287169009,97.30311109499085,1.8113955247598394,-18.696161219068472,-7.404603382559101,42.15377544708437,0.47958915979428013
Israel,0,1051,2102,1548,25471,44623,55208,0,0.058643499415517934,0.1135412834918428,0.08192630548879784,1.305793301087093,2.2181439131651564,2.8219957001471108,..,13.862943611198904,-6.1185099457444805,56.01153549859641,11.214177421418459,5.321461228750542
Jordan,929482,1250358,1571234,1972086,2372937,2751479,2928724,81.08193926980353,81.34541931966558,81.50209171380479,84.80580232165111,87.14475999299299,88.41439628075088,87.51072324015607,5.931154951356808,4.568627751711529,4.544611357641269,3.7007312530287813,2.960203137185906,1.560706200126518
Kuwait,30000,3306,2776,1523,184,1641,1695,2.792279533242553,0.3585862201367964,0.2461778581816892,0.11422554257132722,0.009831491442595043,0.057254784839240014,0.05585128729803335,-44.10916764526645,-3.494559135085487,-12.006579374630666,-42.27003190572353,43.762506669622105,0.8094232181114942
Lebanon,305499,342697,379894,421239,462584,1592607,1558615,58.33551336374555,56.33656253544698,54.8256418915506,55.661721178037595,56.367657541841574,80.7117257009412,83.62238199705668,2.298003390922411,2.0609118321793147,2.0661620425405367,1.87255587033816,24.725988261183744,-0.5393672439342769
Oman,0,0,0,7,78,435,701,0,0,0,0.0010507986069412754,0.00955623538232905,0.023434646427751792,0.030661885570367933,..,..,..,48.21597355268557,34.37274408798184,11.92904639864765
Qatar,0,0,35,74,67,238,272,0,0,0.009730411985643471,0.011454647336175326,0.004600343446536113,0.014102533715721363,0.01219901618522412,..,..,14.974340634295121,-1.9874494762640744,25.351561085610175,3.3382848156130644
Saudi Arabia,33261,13169,5480,240913,669,157,210,0.6654269477807598,0.25707136585341095,0.10411546785368433,3.7053169274629143,0.007935984482006787,0.0014575681487380523,0.0016003245763064476,-18.530399134604824,-17.535209635363177,75.66661543010842,-117.72814182638507,-28.99076509559841,7.271543134229014
State of Palestine,910637,1159134,1407631,1681550,1955469,2051096,2214783,..,..,..,..,..,..,..,4.8256819788518595,3.8846994987846633,3.5561567517315957,3.0182815050649894,0.954884441321084,1.919503646746237
Syrian Arab Republic,282794,363644,390811,455945,1483993,590438,589358,39.5992382446019,43.78035419751748,46.80842144598978,51.91174394403786,83.01775435915194,67.77497951040779,67.91027921940248,5.0291329938633735,1.4409740015861299,3.0829624208474815,23.60239037060456,-18.432541447527857,-0.04577063753703877
Turkey,30534,12841,3103,2399,10032,2753760,3787207,2.6239036991078346,1.0558530735347686,0.2422396275302253,0.18184767547277364,0.7338515355141131,63.36022044099704,64.44303552136705,-17.323952799712274,-28.405475827657877,-5.146348032173713,28.61456000066015,112.2988509126221,7.966538939189041
United Arab Emirates,433,407,897,183,624,1084,2751,0.033140105344205535,0.02231215305150215,0.03665698137727268,0.005577372326175705,0.00852843844702056,0.013558260370130502,0.0320358447448172,-1.238490851197898,15.804853532324021,-31.7913941843475,24.533284310560134,11.045256272603277,23.282664473124576
Yemen,41534,53453,61956,82735,192649,277039,280656,34.942749215483374,39.15540416804014,42.745963847109145,48.13784757172531,66.80062692011623,72.92764595321705,72.77894758679349,5.0458078839379175,2.952433851356585,5.784365465165905,16.90454302708881,7.265768204046812,0.32428574002089006
CENTRAL AND SOUTHERN ASIA,7011227,3712870,4277031,2518831,3499008,3435870,3619513,26.792494966204373,17.474126985486603,20.897040874403636,13.28624128747305,17.873666821104877,17.670772413749123,18.4414754655889,-12.714151178609157,2.8290782965431527,-10.589283445697536,6.573691894915303,-0.3641866207142726,1.3017329421539476
Central Asia,3000,55538,101526,67968,12892,3707,4235,0.04524420787421145,0.9405576315519846,1.9565310395942868,1.2981206395795777,0.244865181698246,0.06873990318929415,0.076397184542766,58.36910364958684,12.064949043341858,-8.025558342702512,-33.24860084452455,-24.927680795691927,3.329010098385563
Kazakhstan,..,15561,20579,7330,4720,805,807,..,0.47851024364323386,0.7159920311572565,0.2362209545711333,0.14153190899858079,0.02270125152986695,0.021778108332460768,..,5.590067086460781,-20.64591244923703,-8.803334326021924,-35.37443602322076,0.0620347712846369
Kyrgyzstan,..,13407,10995,3096,3012,512,430,..,2.5865361983879245,2.8205036118863895,1.000649646572872,1.2979122228685929,0.25051129747238016,0.21472086287825826,..,-3.9667266922539928,-25.34659336558488,-0.5501329157966717,-35.44069927760553,-4.363485408797492
Tajikistan,3000,620,15597,1040,4787,2257,2956,0.6994637444625788,0.17798344753937884,5.207696853745755,0.3708114352541841,1.7108159881061298,0.8204259526501176,1.078552637820127,-31.532961792222192,64.50228778025377,-54.15715749832815,30.533663945141814,-15.037348251499466,6.745012631263919
Turkmenistan,..,23323,14757,11965,62,26,22,..,8.525578930053186,6.736295288655982,5.61597349016442,0.031316452755090186,0.013239907116959304,0.011274708266923592,..,-9.154449033337883,-4.194636502419515,-105.25213230594763,-17.38075694047219,-4.176352116579155
Uzbekistan,..,2627,39598,44537,311,107,20,..,0.17367710866950906,2.8153612731763573,3.3488178342952875,0.02548869031569095,0.009138480432976078,0.0017117659947414549,..,54.258722024622074,2.3508338487980587,-99.28565342354625,-21.33928155434656,-41.92741402269788
Southern Asia,7008227,3657332,4175505,2450863,3486116,3432163,3615278,35.86983581687731,23.837107938144378,27.3300393328245,17.86042062585071,24.35902810851663,24.42645048291902,25.670077743467644,-13.007016496383434,2.6500277845795397,-10.655902032817735,7.0469603014851625,-0.31195095669571804,1.2994519945400624
Afghanistan,25,19605,0,32,6434,407953,76146,0.04333807162916479,27.411146220743266,0,0.03665521191294387,6.292666705788001,83.29838345764871,50.84467354869726,133.2932817971646,..,..,106.07231609998489,82.99111085746637,-41.96248554085175
